Species	GO_term	GO_description	Count
DhMREa_prot	GO:0004672	protein kinase activity	6
DhMREa_prot	GO:0006468	protein phosphorylation	6
DhMREa_prot	GO:0006260	DNA replication	3
DhMREa_prot	GO:0055114	oxidation-reduction process	4
DhMREa_prot	GO:0000166	nucleotide binding	15
DhMREa_prot	GO:0004812	aminoacyl-tRNA ligase activity	16
DhMREa_prot	GO:0005524	ATP binding	44
DhMREa_prot	GO:0006418	tRNA aminoacylation for protein translation	14
DhMREa_prot	GO:0003735	structural constituent of ribosome	35
DhMREa_prot	GO:0006412	translation	34
DhMREa_prot	GO:0005840	ribosome	33
DhMREa_prot	GO:0003899	DNA-directed 5'-3' RNA polymerase activity	3
DhMREa_prot	GO:0006351	transcription DNA-templated	3
DhMREa_prot	GO:0004813	alanine-tRNA ligase activity	2
DhMREa_prot	GO:0006419	alanyl-tRNA aminoacylation	2
DhMREa_prot	GO:0016491	oxidoreductase activity	1
DhMREa_prot	GO:0003743	translation initiation factor activity	2
DhMREa_prot	GO:0006413	translational initiation	2
DhMREa_prot	GO:0009405	pathogenesis	2
DhMREa_prot	GO:0016020	membrane	2
DhMREa_prot	GO:0005509	calcium ion binding	1
DhMREa_prot	GO:0005576	extracellular region	2
DhMREa_prot	GO:0003677	DNA binding	44
DhMREa_prot	GO:0045454	cell redox homeostasis	1
DhMREa_prot	GO:0004810	tRNA adenylyltransferase activity	1
DhMREa_prot	GO:0006310	DNA recombination	5
DhMREa_prot	GO:0015074	DNA integration	5
DhMREa_prot	GO:0008234	cysteine-type peptidase activity	3
DhMREa_prot	GO:0006508	proteolysis	9
DhMREa_prot	GO:0032784	regulation of DNA-templated transcription elongation	1
DhMREa_prot	GO:0003918	DNA topoisomerase type II (double strand cut ATP-hydrolyzing) activity	1
DhMREa_prot	GO:0006265	DNA topological change	2
DhMREa_prot	GO:0022857	transmembrane transporter activity	1
DhMREa_prot	GO:0055085	transmembrane transport	1
DhMREa_prot	GO:0005886	plasma membrane	1
DhMREa_prot	GO:0008170	N-methyltransferase activity	9
DhMREa_prot	GO:0006306	DNA methylation	9
DhMREa_prot	GO:0008289	lipid binding	1
DhMREa_prot	GO:0006869	lipid transport	1
DhMREa_prot	GO:0042157	lipoprotein metabolic process	1
DhMREa_prot	GO:0008855	exodeoxyribonuclease VII activity	1
DhMREa_prot	GO:0006308	DNA catabolic process	1
DhMREa_prot	GO:0009318	exodeoxyribonuclease VII complex	1
DhMREa_prot	GO:0005525	GTP binding	7
DhMREa_prot	GO:0004803	transposase activity	1
DhMREa_prot	GO:0006313	transposition DNA-mediated	1
DhMREa_prot	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system	1
DhMREa_prot	GO:0016787	hydrolase activity	6
DhMREa_prot	GO:0004519	endonuclease activity	1
DhMREa_prot	GO:0006289	nucleotide-excision repair	2
DhMREa_prot	GO:0009411	response to UV	1
DhMREa_prot	GO:0016887	ATPase activity	4
DhMREa_prot	GO:0003916	DNA topoisomerase activity	1
DhMREa_prot	GO:0005506	iron ion binding	1
DhMREa_prot	GO:0051536	iron-sulfur cluster binding	1
DhMREa_prot	GO:0016226	iron-sulfur cluster assembly	1
DhMREa_prot	GO:0004525	ribonuclease III activity	1
DhMREa_prot	GO:0006396	RNA processing	3
DhMREa_prot	GO:0002949	tRNA threonylcarbamoyladenosine modification	1
DhMREa_prot	GO:0003924	GTPase activity	4
DhMREa_prot	GO:0019843	rRNA binding	3
DhMREa_prot	GO:0000287	magnesium ion binding	1
DhMREa_prot	GO:0004427	inorganic diphosphatase activity	1
DhMREa_prot	GO:0006796	phosphate-containing compound metabolic process	1
DhMREa_prot	GO:0005737	cytoplasm	1
DhMREa_prot	GO:0003723	RNA binding	10
DhMREa_prot	GO:0008173	RNA methyltransferase activity	1
DhMREa_prot	GO:0000049	tRNA binding	2
DhMREa_prot	GO:0004526	ribonuclease P activity	1
DhMREa_prot	GO:0008033	tRNA processing	1
DhMREa_prot	GO:0043039	tRNA aminoacylation	2
DhMREa_prot	GO:0016740	transferase activity	1
DhMREa_prot	GO:0006730	one-carbon metabolic process	1
DhMREa_prot	GO:0004176	ATP-dependent peptidase activity	2
DhMREa_prot	GO:0004252	serine-type endopeptidase activity	2
DhMREa_prot	GO:0006364	rRNA processing	1
DhMREa_prot	GO:0006415	translational termination	1
DhMREa_prot	GO:0003824	catalytic activity	2
DhMREa_prot	GO:0006304	DNA modification	1
DhMREa_prot	GO:0003700	DNA-binding transcription factor activity	2
DhMREa_prot	GO:0006355	regulation of transcription DNA-templated	4
DhMREa_prot	GO:0005096	GTPase activator activity	1
DhMREa_prot	GO:0008083	growth factor activity	1
DhMREa_prot	GO:0019867	outer membrane	1
DhMREa_prot	GO:0004784	superoxide dismutase activity	1
DhMREa_prot	GO:0046872	metal ion binding	1
DhMREa_prot	GO:0006801	superoxide metabolic process	1
DhMREa_prot	GO:0004146	dihydrofolate reductase activity	1
DhMREa_prot	GO:0046654	tetrahydrofolate biosynthetic process	1
DhMREa_prot	GO:0003905	alkylbase DNA N-glycosylase activity	1
DhMREa_prot	GO:0006284	base-excision repair	1
DhMREa_prot	GO:0009007	site-specific DNA-methyltransferase (adenine-specific) activity	1
DhMREa_prot	GO:0032775	DNA methylation on adenine	1
DhMREa_prot	GO:0016021	integral component of membrane	2
DhMREa_prot	GO:0004177	aminopeptidase activity	1
DhMREa_prot	GO:0005515	protein binding	4
DhMREa_prot	GO:0009982	pseudouridine synthase activity	2
DhMREa_prot	GO:0001522	pseudouridine synthesis	2
DhMREa_prot	GO:0009451	RNA modification	2
DhMREa_prot	GO:0003697	single-stranded DNA binding	2
DhMREa_prot	GO:0006281	DNA repair	2
DhMREa_prot	GO:0004127	cytidylate kinase activity	1
DhMREa_prot	GO:0006139	nucleobase-containing compound metabolic process	1
DhMREa_prot	GO:0003676	nucleic acid binding	1
DhMREa_prot	GO:0003911	DNA ligase (NAD+) activity	1
DhMREa_prot	GO:0006352	DNA-templated transcription initiation	1
DhMREa_prot	GO:0003684	damaged DNA binding	1
DhMREa_prot	GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity	1
DhMREa_prot	GO:0008270	zinc ion binding	1
DhMREa_prot	GO:0016799	hydrolase activity hydrolyzing N-glycosyl compounds	1
DhMREa_prot	GO:0017038	protein import	1
DhMREa_prot	GO:0004553	hydrolase activity hydrolyzing O-glycosyl compounds	1
DhMREa_prot	GO:0016884	carbon-nitrogen ligase activity with glutamine as amido-N-donor	1
DhMREa_prot	GO:0004222	metalloendopeptidase activity	3
DhMREa_prot	GO:0042254	ribosome biogenesis	1
DhMREa_prot	GO:0008408	3'-5' exonuclease activity	2
DhMREa_prot	GO:0004045	aminoacyl-tRNA hydrolase activity	1
DhMREa_prot	GO:0008168	methyltransferase activity	1
DhMREa_prot	GO:0000774	adenyl-nucleotide exchange factor activity	1
DhMREa_prot	GO:0042803	protein homodimerization activity	1
DhMREa_prot	GO:0051087	chaperone binding	1
DhMREa_prot	GO:0006457	protein folding	1
DhMREa_prot	GO:0016788	hydrolase activity acting on ester bonds	1
DhMREa_prot	GO:0004814	arginine-tRNA ligase activity	1
DhMREa_prot	GO:0006420	arginyl-tRNA aminoacylation	1
DhMREa_prot	GO:0016874	ligase activity	1
Endogone_FLAS59071	GO:0004127	cytidylate kinase activity	3
Endogone_FLAS59071	GO:0005524	ATP binding	172
Endogone_FLAS59071	GO:0006139	nucleobase-containing compound metabolic process	3
Endogone_FLAS59071	GO:0003677	DNA binding	212
Endogone_FLAS59071	GO:0006310	DNA recombination	42
Endogone_FLAS59071	GO:0015074	DNA integration	42
Endogone_FLAS59071	GO:0004177	aminopeptidase activity	4
Endogone_FLAS59071	GO:0006508	proteolysis	24
Endogone_FLAS59071	GO:0003676	nucleic acid binding	12
Endogone_FLAS59071	GO:0004523	RNA-DNA hybrid ribonuclease activity	1
Endogone_FLAS59071	GO:0003723	RNA binding	33
Endogone_FLAS59071	GO:0009982	pseudouridine synthase activity	8
Endogone_FLAS59071	GO:0001522	pseudouridine synthesis	8
Endogone_FLAS59071	GO:0009451	RNA modification	8
Endogone_FLAS59071	GO:0007165	signal transduction	2
Endogone_FLAS59071	GO:0016020	membrane	17
Endogone_FLAS59071	GO:0000166	nucleotide binding	54
Endogone_FLAS59071	GO:0004812	aminoacyl-tRNA ligase activity	51
Endogone_FLAS59071	GO:0006418	tRNA aminoacylation for protein translation	45
Endogone_FLAS59071	GO:0008170	N-methyltransferase activity	42
Endogone_FLAS59071	GO:0006306	DNA methylation	42
Endogone_FLAS59071	GO:0003700	DNA-binding transcription factor activity	15
Endogone_FLAS59071	GO:0006355	regulation of transcription DNA-templated	23
Endogone_FLAS59071	GO:0005887	integral component of plasma membrane	10
Endogone_FLAS59071	GO:0003824	catalytic activity	7
Endogone_FLAS59071	GO:0008134	transcription factor binding	6
Endogone_FLAS59071	GO:0042803	protein homodimerization activity	9
Endogone_FLAS59071	GO:0070840	dynein complex binding	6
Endogone_FLAS59071	GO:0016192	vesicle-mediated transport	2
Endogone_FLAS59071	GO:0016021	integral component of membrane	20
Endogone_FLAS59071	GO:0004672	protein kinase activity	6
Endogone_FLAS59071	GO:0006468	protein phosphorylation	6
Endogone_FLAS59071	GO:0004813	alanine-tRNA ligase activity	6
Endogone_FLAS59071	GO:0006419	alanyl-tRNA aminoacylation	6
Endogone_FLAS59071	GO:0008234	cysteine-type peptidase activity	5
Endogone_FLAS59071	GO:0009036	type II site-specific deoxyribonuclease activity	6
Endogone_FLAS59071	GO:0009307	DNA restriction-modification system	6
Endogone_FLAS59071	GO:0003735	structural constituent of ribosome	132
Endogone_FLAS59071	GO:0006412	translation	129
Endogone_FLAS59071	GO:0005840	ribosome	122
Endogone_FLAS59071	GO:0006811	ion transport	1
Endogone_FLAS59071	GO:0004803	transposase activity	3
Endogone_FLAS59071	GO:0006313	transposition DNA-mediated	3
Endogone_FLAS59071	GO:0003896	DNA primase activity	4
Endogone_FLAS59071	GO:0004386	helicase activity	3
Endogone_FLAS59071	GO:0008270	zinc ion binding	10
Endogone_FLAS59071	GO:0005515	protein binding	9
Endogone_FLAS59071	GO:0042981	regulation of apoptotic process	1
Endogone_FLAS59071	GO:0016884	carbon-nitrogen ligase activity with glutamine as amido-N-donor	1
Endogone_FLAS59071	GO:0019069	viral capsid assembly	2
Endogone_FLAS59071	GO:0004814	arginine-tRNA ligase activity	2
Endogone_FLAS59071	GO:0006420	arginyl-tRNA aminoacylation	2
Endogone_FLAS59071	GO:0008168	methyltransferase activity	16
Endogone_FLAS59071	GO:0048487	beta-tubulin binding	1
Endogone_FLAS59071	GO:0007021	tubulin complex assembly	1
Endogone_FLAS59071	GO:0007023	post-chaperonin tubulin folding pathway	1
Endogone_FLAS59071	GO:0016887	ATPase activity	26
Endogone_FLAS59071	GO:0003989	acetyl-CoA carboxylase activity	3
Endogone_FLAS59071	GO:0006633	fatty acid biosynthetic process	3
Endogone_FLAS59071	GO:0009317	acetyl-CoA carboxylase complex	3
Endogone_FLAS59071	GO:0003712	transcription coregulator activity	1
Endogone_FLAS59071	GO:0006357	regulation of transcription by RNA polymerase II	1
Endogone_FLAS59071	GO:0016592	mediator complex	1
Endogone_FLAS59071	GO:0017119	Golgi transport complex	2
Endogone_FLAS59071	GO:0003995	acyl-CoA dehydrogenase activity	1
Endogone_FLAS59071	GO:0033539	fatty acid beta-oxidation using acyl-CoA dehydrogenase	1
Endogone_FLAS59071	GO:0055114	oxidation-reduction process	9
Endogone_FLAS59071	GO:0003887	DNA-directed DNA polymerase activity	3
Endogone_FLAS59071	GO:0006260	DNA replication	11
Endogone_FLAS59071	GO:0009306	protein secretion	3
Endogone_FLAS59071	GO:0008173	RNA methyltransferase activity	3
Endogone_FLAS59071	GO:0006396	RNA processing	9
Endogone_FLAS59071	GO:0006304	DNA modification	9
Endogone_FLAS59071	GO:0003774	motor activity	1
Endogone_FLAS59071	GO:0016459	myosin complex	1
Endogone_FLAS59071	GO:0051082	unfolded protein binding	3
Endogone_FLAS59071	GO:0006457	protein folding	6
Endogone_FLAS59071	GO:0003916	DNA topoisomerase activity	4
Endogone_FLAS59071	GO:0006265	DNA topological change	7
Endogone_FLAS59071	GO:0004784	superoxide dismutase activity	4
Endogone_FLAS59071	GO:0046872	metal ion binding	8
Endogone_FLAS59071	GO:0006801	superoxide metabolic process	4
Endogone_FLAS59071	GO:0035556	intracellular signal transduction	1
Endogone_FLAS59071	GO:0009055	electron transfer activity	1
Endogone_FLAS59071	GO:0020037	heme binding	1
Endogone_FLAS59071	GO:0005525	GTP binding	30
Endogone_FLAS59071	GO:0042626	ATPase-coupled transmembrane transporter activity	3
Endogone_FLAS59071	GO:0055085	transmembrane transport	5
Endogone_FLAS59071	GO:0005484	SNAP receptor activity	1
Endogone_FLAS59071	GO:0006890	retrograde vesicle-mediated transport Golgi to endoplasmic reticulum	1
Endogone_FLAS59071	GO:0051607	defense response to virus	3
Endogone_FLAS59071	GO:0004197	cysteine-type endopeptidase activity	3
Endogone_FLAS59071	GO:0071586	CAAX-box protein processing	3
Endogone_FLAS59071	GO:0072546	ER membrane protein complex	1
Endogone_FLAS59071	GO:0043039	tRNA aminoacylation	6
Endogone_FLAS59071	GO:0016272	prefoldin complex	2
Endogone_FLAS59071	GO:0004519	endonuclease activity	2
Endogone_FLAS59071	GO:0043571	maintenance of CRISPR repeat elements	2
Endogone_FLAS59071	GO:0006281	DNA repair	11
Endogone_FLAS59071	GO:0023041	neuronal signal transduction	1
